0 Temps	1 Thermocouple 0	2 Thermocouple 1	3 Thermocouple 2	4 Thermocouple 3	5 Thermocouple 4	6 Pression	7 Force	8 Temps Magna Power	9 Voltage Magna Power	10 Courant Magna Power
1897,800000	28,910000	29,120000	717,030000	720,860000	720,880000	102,860000	318,910000	1738,000000	0,100000	0,000000
1898,000	28,960	29,130	717,030	720,860	720,870	102,860	318,940	1738,000	0,100	0,000
1898,200	29,030	29,190	717,030	720,850	720,870	102,860	318,890	1739,000	0,100	0,000
1898,400	29,030	29,180	717,010	720,850	720,870	102,850	318,810	1739,000	0,100	0,000
1898,600	29,060	29,160	717,000	720,860	720,870	102,840	318,750	1739,000	0,100	0,000
1898,800	29,040	29,150	717,000	720,860	720,870	102,840	318,950	1739,000	0,100	0,000
1899,000	29,100	29,170	717,000	720,860	720,870	102,830	318,820	1739,000	0,100	0,000
1899,200	29,070	29,160	717,020	720,860	720,880	102,830	318,820	1740,000	0,100	0,000
1899,400	29,030	29,180	717,010	720,870	720,880	102,830	318,770	1740,000	0,100	0,000
1899,600	29,040	29,210	717,020	720,870	720,890	102,830	318,810	1740,000	0,100	0,000
1899,800	29,060	29,200	717,030	720,870	720,880	102,830	318,770	1740,000	0,100	0,000
1900,000	29,020	29,200	717,030	720,870	720,880	102,830	318,990	1741,000	0,100	0,000
1900,200	28,950	29,170	717,030	720,870	720,870	102,830	318,930	1741,000	0,100	0,000
1900,400	28,880	29,120	717,030	720,850	720,870	102,830	318,840	1741,000	0,100	0,000
1900,600	29,140	29,150	717,000	720,830	720,910	102,830	318,840	1741,000	0,100	0,000
1900,800	29,010	29,090	717,000	720,840	720,890	102,830	318,950	1741,000	0,100	0,000
1901,000	29,120	29,180	717,010	720,830	720,880	102,830	318,820	1741,000	0,100	0,000
1901,200	29,210	29,220	717,010	720,830	720,880	102,830	318,860	1742,000	0,100	0,000
1901,400	29,150	29,210	717,020	720,830	720,880	102,830	318,950	1742,000	0,100	0,000
1901,600	29,090	29,210	717,030	720,850	720,880	102,830	318,910	1742,000	0,100	0,000
1901,800	29,070	29,180	717,030	720,860	720,880	102,830	318,890	1742,000	0,100	0,000
1902,000	29,060	29,190	717,030	720,860	720,880	102,830	318,740	1742,000	0,100	0,000
1902,200	29,090	29,160	717,030	720,860	720,870	102,830	318,710	1742,000	0,100	0,000
1902,400	29,010	29,200	717,030	720,860	720,880	102,830	318,720	1743,000	0,100	0,000
1902,600	29,030	29,200	717,030	720,860	720,880	102,830	318,670	1743,000	0,100	0,000
1902,800	29,020	29,190	717,030	720,860	720,870	102,830	318,680	1743,000	0,100	0,000
1903,000	29,020	29,170	717,030	720,860	720,880	102,830	318,780	1743,000	0,100	0,000
1903,200	29,020	29,190	717,030	720,860	720,870	102,830	318,800	1744,000	0,100	0,000
1903,400	29,030	29,190	717,030	720,860	720,870	102,830	318,670	1744,000	0,100	0,000
1903,600	29,010	29,210	717,030	720,850	720,870	102,830	318,660	1744,000	0,100	0,000
1903,800	29,000	29,190	717,140	720,860	720,870	102,830	318,810	1744,000	0,100	0,000
1904,000	29,030	29,190	717,450	720,860	720,870	102,830	318,790	1744,000	0,100	0,000
1904,200	29,040	29,180	717,700	720,860	720,870	102,830	318,780	1744,000	0,100	0,000
1904,400	28,990	29,170	717,850	720,860	720,870	102,830	318,730	1745,000	0,100	0,000
1904,600	29,010	29,190	717,920	720,860	720,870	102,830	318,640	1745,000	0,100	0,000
1904,800	29,000	29,190	717,950	720,870	720,880	102,830	318,730	1745,000	0,100	0,000
1905,000	28,990	29,140	717,990	720,860	720,870	102,830	318,640	1745,000	0,100	0,000
1905,200	29,010	29,160	717,990	720,850	720,870	102,830	318,630	1746,000	0,100	0,000
1905,400	29,030	29,170	718,020	720,860	720,870	102,830	318,730	1746,000	0,100	0,000
1905,600	29,020	29,180	718,000	720,870	720,870	102,830	318,650	1746,000	0,100	0,000
1905,800	29,070	29,190	718,000	720,860	720,880	102,830	318,640	1746,000	0,100	0,000
1906,000	29,010	29,180	718,910	720,860	720,880	102,830	318,630	1746,000	0,100	0,000
1906,200	29,060	29,160	718,300	720,870	720,880	102,830	318,670	1746,000	0,100	0,000
1906,400	29,020	29,160	717,460	720,870	720,880	102,830	318,590	1747,000	0,100	0,000
1906,600	29,030	29,160	717,180	720,860	720,870	102,830	318,560	1747,000	0,100	0,000
1906,800	29,170	29,240	717,010	720,820	720,880	102,830	317,990	1747,000	0,100	0,000
1907,000	29,270	29,250	716,970	720,830	720,890	102,820	318,620	1748,000	0,100	0,000
1907,200	29,160	29,220	716,980	720,830	720,890	102,820	318,790	1748,000	0,100	0,000
1907,400	29,010	29,110	717,000	720,850	720,880	102,820	318,530	1748,000	0,100	0,000
1907,600	28,970	29,090	717,020	720,860	720,870	102,830	318,560	1748,000	0,100	0,000
1907,800	28,950	29,110	717,030	720,860	720,880	102,830	318,430	1748,000	0,100	0,000
1908,000	29,160	29,170	717,010	720,820	720,890	102,820	318,000	1748,000	0,100	0,000
1908,200	29,080	29,150	717,020	720,840	720,880	102,820	318,450	1749,000	0,100	0,000
1908,400	29,040	29,160	717,030	720,860	720,880	102,830	318,390	1749,000	0,100	0,000
1908,600	29,080	29,170	717,040	720,860	720,870	102,820	318,400	1749,000	0,100	0,000
1908,800	29,030	29,160	717,040	720,860	720,880	102,820	318,350	1749,000	0,100	0,000
1909,000	29,040	29,170	717,040	720,860	720,870	102,830	318,390	1750,000	0,100	0,000
1909,200	28,980	29,110	717,040	720,860	720,880	102,830	318,370	1750,000	0,100	0,000
1909,400	29,030	29,090	717,040	720,850	720,880	102,820	318,230	1750,000	0,100	0,000
1909,600	29,060	29,110	717,040	720,840	720,880	102,810	318,370	1750,000	0,100	0,000
1909,800	29,010	29,140	717,040	720,860	720,880	102,790	318,350	1750,000	0,100	0,000
1910,000	29,080	29,210	717,040	720,840	720,880	102,770	318,670	1750,000	0,100	0,000
1910,200	29,030	29,200	717,040	720,840	720,870	102,750	318,410	1751,000	0,100	0,000
1910,400	29,050	29,190	717,040	720,860	720,880	102,750	318,250	1751,000	0,100	0,000
1910,600	28,960	29,190	717,040	720,870	720,870	102,750	318,240	1751,000	0,100	0,000
1910,800	28,980	29,180	718,470	720,860	720,870	102,750	318,320	1751,000	0,100	0,000
1911,000	28,970	29,140	719,010	720,840	720,890	102,740	318,040	1752,000	0,100	0,000
1911,200	28,920	29,080	719,320	720,830	720,880	102,740	317,880	1752,000	0,100	0,000
1911,400	29,040	29,130	719,400	720,830	720,880	102,740	318,090	1752,000	0,100	0,000
1911,600	28,950	29,080	719,460	720,840	720,880	102,750	318,150	1752,000	0,100	0,000
1911,800	28,960	29,110	719,510	720,850	720,880	102,740	318,230	1752,000	0,100	0,000
1912,000	28,960	29,150	719,490	720,860	720,880	102,750	318,190	1752,000	0,100	0,000
1912,200	29,000	29,150	719,460	720,870	720,870	102,740	318,350	1753,000	0,100	0,000
